College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Cambay Institute of Hospitality Management ,Gujarat,Hotel-management,"84,000","1,10,000",--,--,--,--,--,--,--
Vivekanand Institute of Management ,Gujarat,Hotel-management,"90,000","80,000",8.8,8,8,9,9,--,--
"Swarrnim Startup & Innovation University, Gandhi Nagar ",Gujarat,Hotel-management,"1,50,000",--,6.5,7,6,6.6,6.5,5.6,7.4
Sanskar Institute of Management & Information Techonogy ,Gujarat,Hotel-management,--,--,8.2,9,7,8,9,7,9
Gujarat Institute of Management ,Gujarat,Hotel-management,--,--,--,--,--,--,--,--,--
Western India Institute of Aeronautics ,Gujarat,Hotel-management,"1,65,000",--,8.5,9,8,9,8,9,8
"Jindal School of Hotel Management -[JSHM], Vadodara ",Gujarat,Hotel-management,"3,07,800",--,7.6,7.3,7.5,7.8,8.1,7.7,7.4
Aptech Aviation and Hospitality Academy ,Gujarat,Hotel-management,"1,68,940","43,870",--,--,--,--,--,--,--
"Gujarat Institute of Hotel Management, Vadodara ",Gujarat,Hotel-management,--,--,7.2,6.8,6.3,8.5,6.8,7.8,7
Parul Institute of Hotel Management & Catering ,Gujarat,Hotel-management,"90,000","42,000",8.8,8.5,7.5,9.5,9.5,8,--
Gujarat Technological University ,Gujarat,Hotel-management,--,--,7.4,8.1,6.5,7.6,8,6.9,7.2
Bhakta Kavi Narsinh Mehta University ,Gujarat,Hotel-management,--,--,8.8,9.3,9,8.6,8.7,8.8,8.5
"Panache Academy, Vadodara ",Gujarat,Hotel-management,"1,19,000","69,000",--,--,--,--,--,--,--
Bhagwan Mahavir University ,Gujarat,Hotel-management,"68,000","50,000",9.7,--,--,--,--,--,--
"Birsa Munda Tribal University, Rajpipala ",Gujarat,Hotel-management,--,--,--,--,--,--,--,--,--
Chandigarh College of Hotel Management and Catering ,Punjab,Hotel-management,"1,15,100","44,990",9.5,9,9,--,--,--,--
CT Institute of Hotel Management & Catering ,Punjab,Hotel-management,"90,230",--,7,5,5,--,--,--,--
"CT Institute of Hotel Management, Jalandhar ",Punjab,Hotel-management,"50,850",--,5.3,6,5,5,6,3,7
Desh Bhagat Institute of Hotel Management & ,Punjab,Hotel-management,"85,000",--,7.8,8,8,7,9,7,8
Surya School of Hotel Management and Catering ,Punjab,Hotel-management,--,--,--,--,--,--,--,--,--
CT University ,Punjab,Hotel-management,"1,14,700","1,51,700",8.8,8.9,8.5,8.7,9.3,8.8,8.5
DAV Institute of Engineering and Technology ,Punjab,Hotel-management,"50,850",--,7.2,7.7,7.2,7.6,7.1,6.7,7.1
Amritsar Group of Colleges ,Punjab,Hotel-management,"3,16,089","1,26,000",8.8,8.7,8.9,9,8.8,8.6,9
"CT Group of Institutions, Jalandhar ",Punjab,Hotel-management,"1,06,900","50,000",7.6,7.5,7,8.2,7.5,7.9,7.4
"Rayat Bahra Hoshiarpur Campus, Hoshiarpur ",Punjab,Hotel-management,"60,000","50,000",8.9,9.2,8.5,9.2,8.3,8.8,9.1
Institute of Hotel Management Catering Technology & ,West bengal,Hotel-management,"66,000","66,000",8.7,8.9,8.5,9.2,8.1,8.8,8.6
"BNG Hotel Management, Kolkata ",West bengal,Hotel-management,--,--,7.8,8,7.5,7.9,7.5,7.9,7.8
"NIPS School of Hotel Management, Kolkata ",West bengal,Hotel-management,"5,90,000","4,30,000",7.5,8,6.8,8,7.3,7.6,7.4
Future Institute of Engineering and Management ,West bengal,Hotel-management,"1,30,500",--,7.8,8.2,6.7,8.1,7.7,7.8,8.1
"Seacom Engineering College, Howrah ",West bengal,Hotel-management,"1,60,000",--,7.2,7.6,6.8,7.1,8,5.9,7.6
Saroj Mohan Institute of Technology ,West bengal,Hotel-management,"1,70,000",--,7.5,8.3,7,8.5,7.6,6.4,7.3
Haldia Institute of Management ,West bengal,Hotel-management,--,--,8,8.1,7.7,8.5,7.6,7.6,8.2
"JIS University, Kolkata ",West bengal,Hotel-management,"1,90,000","1,45,000",8,8.3,7.7,8,8.2,7.8,7.8
International Institute of Management Sciences ,West bengal,Hotel-management,"3,25,000","70,000",7.8,7.8,7.8,8,7.6,7.7,7.7
Bengal Institute of Technology and Management ,West bengal,Hotel-management,--,--,6.7,6.7,6.2,7.2,6.8,6.3,7
Xavier College of Hotel Management ,Orissa,Hotel-management,--,--,--,--,--,--,--,--,--
"National Institute of Hotel Management & Tourism, ",Orissa,Hotel-management,"1,50,000","66,000",--,--,--,--,--,--,--
"DRIEMS Group of Institutions, Cuttack ",Orissa,Hotel-management,"60,000","60,000",7.6,8,7.2,7.2,9.2,6.9,6.8
Gopabandhu School of Hotel Management ,Orissa,Hotel-management,"50,000","36,000",--,--,--,--,--,--,--
Ranijta Institute of Hotel Management and Catering ,Orissa,Hotel-management,"1,13,400","65,000",--,--,--,--,--,--,--
Utkal University of Culture ,Orissa,Hotel-management,--,--,8.1,8,7.6,8.2,8.2,8.3,8.2
DRIEMS School of Hotel Management ,Orissa,Hotel-management,"47,500","60,000",--,--,--,--,--,--,--
Trytoon Academy ,Orissa,Hotel-management,"65,000","1,10,000",8.8,--,--,--,--,--,--
"BIITM School of Hotel Management, Bhubaneswar ",Orissa,Hotel-management,"60,000","60,000",--,--,--,--,--,--,--
"IMB School of Hospitality, Bhubaneswar ",Orissa,Hotel-management,"50,000","60,000",--,--,--,--,--,--,--
Swosti Institute of Management and Social Studies ,Orissa,Hotel-management,"65,000","54,000",--,--,--,--,--,--,--
"Amrapali Institute of Hotel Management, Haldwani ",Uttarakhand,Hotel-management,"90,000","55,000",7.1,8.3,5.9,7.1,8.2,6.9,6.1
"Amazon Institute of Hotel Tourism and Management, ",Uttarakhand,Hotel-management,"2,40,000","1,50,000",--,--,--,--,--,--,--
GRD Institute of Management and Technology ,Uttarakhand,Hotel-management,"57,000","30,000",6.6,7.1,6,7.1,6.8,5.2,7.2
Shree Dev Bhoomi Institute of Education Science ,Uttarakhand,Hotel-management,"55,000",--,7.3,7.7,7.3,8,7.3,5.3,8
"PAL College of Technology and Management, Haldwani ",Uttarakhand,Hotel-management,"76,000",--,8.2,8.3,8.3,8.2,8.3,7.7,8.3
Alpine Institute of Management & Technology ,Uttarakhand,Hotel-management,"40,000",--,7.2,7.2,7.3,7.8,7.2,6.2,7.3
Imperial Institute of Management and Technology ,Uttarakhand,Hotel-management,"51,570","42,570",--,--,--,--,--,--,--
Maya Institute of Technology & Management ,Uttarakhand,Hotel-management,"85,800","80,800",6.9,8.6,3.7,9.3,7.6,5.5,6.5
Swami Vivekanand Institute of Management ,Uttarakhand,Hotel-management,--,--,9.2,8,--,--,--,--,--
Amrapali Institute of Applied Sciences ,Uttarakhand,Hotel-management,"55,000","16,000",7.7,7,7.3,8.3,8,7,8.3
"DBS PG College, Dehradun ",Uttarakhand,Hotel-management,--,--,6.9,7.8,6,8.8,5.8,4.4,8.4
Tamil Nadu Agricultural University ,Tamil nadu,Agriculture,"48,125","21,100",7.9,8.6,8,8,8.8,6.6,7.5
Anbil Dharmalingam Agricultural College and Research Institute ,Tamil nadu,Agriculture,"63,850","70,825",9,--,--,--,--,--,--
Veterinary College and Research Institute ,Tamil nadu,Agriculture,"33,325",--,7.7,8,7,8,8,8.3,7
"Vanavarayar Institute of Agriculture, Pollachi ",Tamil nadu,Agriculture,"23,538",--,6.9,7.5,5.8,7.7,8,5.3,7
Horticultural College and Research Institute ,Tamil nadu,Agriculture,"57,150","60,630",5.7,7.3,5.3,6,5,5,5.3
Shrimathi Devkunvar Nanalal Bhatt Vaishnav College for ,Tamil nadu,Agriculture,"1,446",--,8.6,9,8,8.7,9.5,7.9,8.4
Thanthai Roever Institute of Agriculture and Rural ,Tamil nadu,Agriculture,"40,000",--,--,--,--,--,--,--,--
Central Marine Fisheries Research Institute ,Tamil nadu,Agriculture,--,--,7.6,8,7,7.5,8,7.5,7.5
Agricultural College and Research Institute ,Tamil nadu,Agriculture,"56,792","80,416",8,8.5,7,8.5,7.5,8,8.3
Forest College and Research Institute ,Tamil nadu,Agriculture,"40,000",--,8.2,8.7,7.7,7.3,8.7,8,8.7
"Holy Cross College (Autonomous), Tiruchirappalli ",Tamil nadu,Agriculture,"9,775",--,8.7,9.3,8.4,9,9.1,7.9,8.7
Dr DY Patil College of Agriculture Business ,Maharashtra,Agriculture,"57,000",--,7.2,7.9,7,7.4,8.6,5.8,6.5
"Yashwantrao Chavan Maharashtra Open University- [YCMOU], Nashik ",Maharashtra,Agriculture,"6,000","6,000",7.4,8.5,6.3,7.6,7.9,7.5,6.4
"Anand Niketan College of Agriculture, Chandrapur ",Maharashtra,Agriculture,"13,150",--,10,--,--,--,--,--,--
Dr Balasaheb Sawant Konkan Krishi Vidyapeeth ,Maharashtra,Agriculture,"24,050","19,100",8.4,9,8,8.5,8.9,7.5,8.3
"KK Wagh College of Agriculture, Nashik ",Maharashtra,Agriculture,"94,000",--,7.5,8,6.1,7.9,8.7,7.1,7.1
Loknete Mohanrao Kadam College of Agriculture ,Maharashtra,Agriculture,"75,000",--,7.3,8,6,8,8,7,7
"Ramkrishna Bajaj College of Agriculture, Wardha ",Maharashtra,Agriculture,"40,070",--,6.7,8.6,6,8.3,6.6,5.8,5
Vasantrao Naik Marathwada Krishi Vidyapeeth ,Maharashtra,Agriculture,"18,850","46,300",8,8.7,7.6,8.2,8.4,7.2,7.9
"Vivekanand College of Agriculture, Buldhana ",Maharashtra,Agriculture,"65,000",--,7.3,--,--,--,--,--,--
Bombay Veterinary College ,Maharashtra,Agriculture,"20,300",--,7.1,7.6,6.6,7.7,6.3,6.4,8.1
National Research Centre For Citrus ,Maharashtra,Agriculture,--,--,--,--,--,--,--,--,--
"College of Agriculture, Pune ",Maharashtra,Agriculture,"79,000",--,8.2,8.9,7.9,7.9,8.5,7.6,8.3
Dr. Panjabrao Deshmukh Krishi Vidyapeeth ,Maharashtra,Agriculture,"25,120","19,100",8.9,9.3,9,9,9.5,8.1,8.6
"College of Agricultural Biotechnology, Pune ",Maharashtra,Agriculture,--,--,7.9,8.6,7.1,8.1,8.1,6.9,8.8
Nagpur Veterinary College ,Maharashtra,Agriculture,"3,725",--,8.6,8.6,9,8.6,8.4,8,8.8
Garware Institute of Career Education and Development ,Maharashtra,Agriculture,"59,100",--,7.1,6.8,6.3,7.7,7,7.7,7.2
National Bureau of Fish Genetic Resources ,Uttar pradesh,Agriculture,--,--,8.1,7.5,8,8.5,8,8.5,8
Central Institute for Subtropical Horticulture ,Uttar pradesh,Agriculture,--,--,--,--,--,--,--,--,--
Baba Saheb Dr Bhim Rao Ambedkar College ,Uttar pradesh,Agriculture,--,--,5.5,6,5,6,6.2,4.2,5.7
Sardar Vallabh Bhai Patel University of Agriculture ,Uttar pradesh,Agriculture,"53,000","72,000",5.5,6.3,6,4.5,7.3,4.3,4.7
"Chandra Bhanu Gupt Krishi Mahavidyala, Lucknow ",Uttar pradesh,Agriculture,--,--,7.7,8.5,7.7,8.3,7.7,6.7,7.5
Amity Institute of Organic Agriculture ,Uttar pradesh,Agriculture,"1,10,000","1,00,000",8.5,8.4,8.4,8.8,9.4,7.4,8.8
Chandra Shekhar Azad University of Agriculture and ,Uttar pradesh,Agriculture,"46,650","63,650",8.3,8.8,8,8.7,8.1,8,7.9
"Kisan Post Graduate College, Ghaziabad ",Uttar pradesh,Agriculture,--,--,--,--,--,--,--,--,--
Amity School of Natural Resources and Sustainable ,Uttar pradesh,Agriculture,"94,000",--,--,--,--,--,--,--,--
Deen Dayal Upadhyaya Gorakhpur University ,Uttar pradesh,Agriculture,"2,613","2,592",6.8,7.7,6.1,7.4,7.5,5,7
Narendra Deva University of Agriculture and Technology ,Uttar pradesh,Agriculture,"47,000","64,000",7.1,7.4,7.1,7.9,7.1,6.2,7
"Indian Grassland and Fodder Research Institute-[IGFRI], Jhansi ",Uttar pradesh,Agriculture,--,--,--,--,--,--,--,--,--
Indian Institute of Pulses Research ,Uttar pradesh,Agriculture,--,--,8.6,9.3,8.3,8.8,8.7,8.3,8.3
Central Institute of Medicinal and Aromatic Plants ,Uttar pradesh,Agriculture,--,--,8.3,--,--,8.6,--,8.2,8
Imperial School of Agri Business ,Uttar pradesh,Agriculture,"81,700",--,--,--,--,--,--,--,--
Indian Agricultural Research Institute ,Delhi ncr,Agriculture,"43,150","29,250",8.8,9.2,9.6,8.6,9.4,8.1,8.1
Indian Agricultural Statistics Research Institute ,Delhi ncr,Agriculture,"8,500","7,550",7.8,8,7.5,7.5,8,8,7.5
Indira Gandhi National Open University ,Delhi ncr,Agriculture,"4,200","12,700",7.1,7.7,5.7,8.1,7.3,6.3,7.3
TERI School of Advanced Studies ,Delhi ncr,Agriculture,"2,30,000","66,000",7.4,7.4,6.7,7.5,7.7,7.6,7.3
Noida International University ,Delhi ncr,Agriculture,"68,000",--,7,7,6.9,7.5,7.3,6.3,6.7
"Maharishi University of Information Technology -[MUIT], Noida ",Delhi ncr,Agriculture,--,--,6.8,7,6.1,7.3,6.8,6.9,6.8
Meerut Institute of Technology ,Delhi ncr,Agriculture,"48,000",--,7.9,8.1,6.1,8.8,7.2,8.6,8.5
Vishveshwarya Group of Institutions ,Delhi ncr,Agriculture,"61,200",--,6.3,6.8,6.1,6,7.1,5.8,6.1
"Dr. Y.S.R Horticultural University, Tadepalligudem ",Andhra pradesh,Agriculture,"56,928","68,988",8.2,9,8.3,8.3,8.5,6.9,8.1
S. V. Agricultural College ,Andhra pradesh,Agriculture,"14,400","10,920",8.6,8.8,8.5,8.8,8.5,8.3,8.4
"Acharya N. G. Ranga Agricultural University, College ",Andhra pradesh,Agriculture,"23,550","27,800",6.2,6.7,7,5.5,6.7,5.3,6
"Jawahar Bharati Degree & P.G College, Nellore ",Andhra pradesh,Agriculture,--,--,8.8,9.5,9,--,--,--,--
"Maharajah's College, Vizianagaram ",Andhra pradesh,Agriculture,"23,400",--,7,8,7,7,6,7,7
"Osmania College, Kurnool ",Andhra pradesh,Agriculture,--,--,9.7,--,--,--,--,--,--
"Sri Durga Malleswari Siddhartha Mahila Kalasala- [SDMSM], ",Andhra pradesh,Agriculture,--,--,7.1,7.2,6.8,6.5,7.8,6.6,7.5
"Visakha Government Degree College for Women, Visakhapatnam ",Andhra pradesh,Agriculture,"10,850",--,--,--,--,--,--,--,--
"Acharya NG Ranga Agricultural University, Agricultural College ",Andhra pradesh,Agriculture,"26,700","27,640",7.7,8.7,7.7,8.4,7,6.7,7.8
Sri Padmavati Mahila Visvavidyalayam ,Andhra pradesh,Agriculture,"16,650",--,7.6,8.3,7.4,7.8,7.5,6.2,8.1
"Hindu College, Guntur ",Andhra pradesh,Agriculture,"5,610",--,7.7,8,7,9,8,7.5,6.7
Sri Krishnadevaraya University ,Andhra pradesh,Agriculture,--,--,6.9,6.9,6.6,7.4,6.7,6.4,7.2
"College of Veterinary Science, Tirupati ",Andhra pradesh,Agriculture,"22,410","42,195",8.3,8.5,8.3,9,9,8,6.8
"Maris Stella College, Vijayawada ",Andhra pradesh,Agriculture,--,--,8.3,8.6,7.8,8.5,8.4,8.1,8.4
"Government College (Autonomous), Rajahmundhry ",Andhra pradesh,Agriculture,--,--,9.4,9.5,9,9,--,--,--
Bharatiya Engineering Science & Technology Innovation University ,Andhra pradesh,Agriculture,"1,25,000",--,--,--,--,--,--,--,--
Indian Institute of Horticultural Research ,Karnataka,Agriculture,"8,850",--,8.5,8.7,8.3,8.8,8.7,8.3,8.2
"Karnataka Veterinary Animal and Fisheries Sciences University, ",Karnataka,Agriculture,"46,320","46,788",7.8,8,6,8.3,8,8.2,8.2
Indian Institute of Plantation Management ,Karnataka,Agriculture,"35,000","75,000",7.4,7.3,6.9,8.3,6.6,7.3,7.9
University of Agricultural Sciences ,Karnataka,Agriculture,"21,700","15,500",8.3,8.3,7.8,8.7,8.7,8.2,8.1
University of Horticultural Sciences ,Karnataka,Agriculture,"52,490","39,385",8.4,8.8,7.7,8.5,9,7.8,8.3
Rai Technology University ,Karnataka,Agriculture,"1,50,000",--,8.1,8.2,7.8,8.7,7.3,7.9,8.6
University of Agricultural and Horticultural Sciences ,Karnataka,Agriculture,"22,000","21,475",7.2,7.8,7.1,7.4,7.8,5.9,7.4
BMS College for Women ,Karnataka,Agriculture,--,--,8,8.4,6.6,8.5,7.8,8.4,8.4
"JSS College of Arts, Commerce and Science ",Karnataka,Agriculture,"11,420",--,7.7,8.5,7.5,8.1,7.9,6.6,7.7
Sri Siddartha First Grade College ,Karnataka,Agriculture,--,--,8.7,--,--,--,--,--,--
"College of Agriculture, Hassan ",Karnataka,Agriculture,--,--,7.5,7.9,7.2,8.1,7.5,5.9,8.3
"College of Agriculture, Raichur ",Karnataka,Agriculture,--,--,8.7,8.4,8.6,8.7,9.1,7.9,9.4
"MVJ Medical College and Research Hospital, Hoskote ",Karnataka,Agriculture,--,--,6.9,7.2,6.4,7.6,6.6,6.8,6.6
"Yuvaraja's College, Mysore ",Karnataka,Agriculture,"21,150",--,7.3,8.1,6.3,7.9,7.7,6.3,7.7
Bangalore University ,Karnataka,Agriculture,--,--,7.3,7.6,7.1,7.8,6.6,7,7.7
Karnatak University ,Karnataka,Agriculture,"4,640",--,7.2,8.3,6.2,7.8,7.9,5.7,7.3
University of Mysore ,Karnataka,Agriculture,"20,800",--,7.2,8.5,5.8,7.7,7.9,4.7,8.3
"Karnataka Janapada Vishwavidyalaya, Haveri ",Karnataka,Agriculture,"2,500",--,--,--,--,--,--,--,--
Karnataka State Akkamahadevi Women's University ,Karnataka,Agriculture,"1,000",--,7.9,7.9,7.8,8.4,8.1,7.1,8.2
"Bharathi College, Mandya ",Karnataka,Agriculture,--,--,6.6,5,5.5,8,8,6.5,6.5
"Maharani's Science College for Women, Mysore ",Karnataka,Agriculture,--,--,7,7.5,6.2,7.7,6.7,6,7.7
"University of Mysore, Institute of Development Studies ",Karnataka,Agriculture,"22,920",--,6.5,8,4,8.3,6,5.7,7
"Bengaluru Central University, Bangalore ",Karnataka,Agriculture,"5,082",--,8.6,8.6,8,8.8,8.4,8.4,9.3
College of Horticulture ,Karnataka,Agriculture,--,--,8.3,9,9,8.3,--,--,--
"Indian Institute of Oilseeds Research, Hyderabad ",Telangana,Agriculture,--,--,8.2,--,--,8.7,--,7.9,7.9
Indian Institute of Rice Research ,Telangana,Agriculture,"6,000",--,8.7,9,9,8.7,9,8,8.2
Shri Shakti College of Hotel Management ,Telangana,Agriculture,--,--,7.8,8,8,8,7,8,7.7
Regency College of Hotel Management and Catering ,Telangana,Agriculture,"78,000",--,8.1,7.6,8,--,--,--,--
"R.K. Degree & PG College, Kamareddy ",Telangana,Agriculture,"21,100",--,7.8,8.8,6.2,8.3,8.6,7.7,7.4
Professor Jayashankar Telangana State Agricultural University ,Telangana,Agriculture,"46,370","45,170",7.8,8.3,7.1,8.5,7.8,7.3,7.9
P. V. Narsimha Rao Telangana Veterinary University ,Telangana,Agriculture,--,--,9.1,9.3,8.5,9.6,8.8,8.7,9.4
Sri Konda Laxman Telangana State Horticultural University ,Telangana,Agriculture,"14,480",--,7.9,8,8.3,8,7.5,7.5,8.3
"Sarada College of Hotel Management-[SCHM], Hyderabad ",Telangana,Agriculture,--,--,7.8,7.7,8,7.7,7.7,8,7.7
Global Institute of Hotel Management ,Telangana,Agriculture,"55,000",--,9.2,9.5,9,9.5,9,9,9
Malla Reddy University ,Telangana,Agriculture,"1,20,000",--,--,--,--,--,--,--,--
"Central Institute of Agricultural Engineering- [CIAE], Bhopal ",Madhya pradesh,Agriculture,--,--,--,--,--,--,--,--,--
"SAGE University, Bhopal ",Madhya pradesh,Agriculture,"95,000",--,8.7,8.8,8.4,8.8,8.7,8.7,8.9
"Medi-Caps University, Indore ",Madhya pradesh,Agriculture,"85,000",--,7.4,7.6,6.3,7.5,7.9,7.4,7.6
Sarvepalli Radhakrishnan University ,Madhya pradesh,Agriculture,"73,000","17,000",7.4,7.9,6.3,7.8,7.1,7.4,8.1
"Renaissance University, Indore ",Madhya pradesh,Agriculture,"60,000","58,000",8.9,9,8.9,9,9.1,9,8.4
Madhyanchal Professional University ,Madhya pradesh,Agriculture,"50,000",--,6.5,7,5.6,7.2,6.8,5.4,6.8
"IES University, Bhopal ",Madhya pradesh,Agriculture,"60,000",--,7.3,8,4,8.1,7,7.9,9
Dr. C.V. Raman University ,Madhya pradesh,Agriculture,"70,000",--,--,--,--,--,--,--,--
"Medi-Caps Institute Of Science & Technology- [MIST], ",Madhya pradesh,Agriculture,--,--,6.3,8,6,5,8,6,5
"Kerala Agricultural University, College of Horticulture Vellanikkara, ",Kerala,Agriculture,--,--,9.3,9.2,9.5,9.4,9.3,8.7,9.6
Kerala University of Fisheries and Ocean Studies ,Kerala,Agriculture,"80,050",--,7.6,7.9,7.7,7.9,7.2,7,7.9
"Kerala Agricultural University, College of Forestry Vellanikkara ",Kerala,Agriculture,--,--,6.3,6,8.5,6,5.5,4,7.5
Kerala Agricultural University ,Kerala,Agriculture,"19,600","30,700",7.4,7.3,6.4,8.5,7.3,7.2,7.8
"KVASU, College of Veterinary and Animal Sciences ",Kerala,Agriculture,"46,200","54,100",8.4,8.9,8.4,8.5,8.1,7.9,8.4
"Kerala Agricultural University, College of Agriculture Padanakkad, ",Kerala,Agriculture,--,--,8.7,9,9.3,9.5,7.3,8,9
School of Industrial Fisheries ,Kerala,Agriculture,"16,815",--,--,--,--,--,--,--,--
"Christian College, Chengannur ",Kerala,Agriculture,--,--,8,8.8,7.5,8.3,9,6.3,8.3
Deva Matha College ,Kerala,Agriculture,--,--,7.8,8.8,7.5,8.3,8,7.1,6.9
"NSS College, Manjeri ",Kerala,Agriculture,"3,720",--,7.6,8.9,6,8.5,7.5,6.4,8.1
Nehru Arts and Science College ,Kerala,Agriculture,--,--,5.2,6,5,8,4,1,7
"Nirmala College, Muvattupuzha ",Kerala,Agriculture,--,--,8.1,8.7,7.6,8.6,8.3,6.8,8.4
Pazhassi Raja NSS College ,Kerala,Agriculture,"7,385",--,8.8,9,9,--,--,--,--
"St. Xavier's College for Women, Aluva ",Kerala,Agriculture,--,--,8.4,8.3,8,9,8.2,8.3,8.8
Thunchan Memorial Government College ,Kerala,Agriculture,--,--,7.7,8.3,7.5,8,8,6.3,8.3
"Kerala Agricultural University, College of Agriculture Vellayani, ",Kerala,Agriculture,"23,900","33,500",7.4,8.1,6.8,7.8,7.6,6,8.1
Holy Cross College of Management and Technology ,Kerala,Agriculture,"5,500",--,8,9,8,9,7,8,7
Kannur University ,Kerala,Agriculture,"24,645",--,6.1,6.3,5.5,6.9,6.7,5,5.9
"Kerala Veterinary and Animal Sciences University, Distance ",Kerala,Agriculture,"46,200","54,100",10,--,--,--,--,--,--
"Kerala Agricultural University, College of Co-Operation, Banking ",Kerala,Agriculture,--,--,6,8,7,6,6,2,7
"St Mary's College, Thrissur ",Kerala,Agriculture,--,--,7.4,8.1,6.6,7.9,7.7,6.7,7.5
"College of Food Technology, Kerala Veterinary And ",Kerala,Agriculture,"1,08,350","67,150",--,--,--,--,--,--,--
"National Research Centre Seed Spices, Ajmer ",Rajasthan,Agriculture,--,--,--,--,--,--,--,--,--
"National Research Centre on Camel, Bikaner ",Rajasthan,Agriculture,--,--,--,--,--,--,--,--,--
Central Institute for Arid Horticulture ,Rajasthan,Agriculture,--,--,--,--,--,--,--,--,--
"Directorate of Rapeseed Mustard Research, Bharatpur ",Rajasthan,Agriculture,--,--,--,--,--,--,--,--,--
"SKN College of Agriculture, Jaipur ",Rajasthan,Agriculture,"53,790","72,010",8.4,9.3,8.3,8.8,8.3,8.3,7.5
"Mody University, Sikar ",Rajasthan,Agriculture,"1,84,000",--,8.3,8.3,8.5,8,9,7.9,8.2
RNB Global University ,Rajasthan,Agriculture,"70,000","70,000",7.7,8.1,7.3,7.6,8.1,7.4,7.8
"Guru Nanak Girls College, Yamuna Nagar ",Haryana,Agriculture,--,--,7.3,7,8,7,6,8,8
"College of Veterinary Sciences, Hisar ",Haryana,Agriculture,"65,570",--,7.7,8,8,8,8,7,7
National Research Centre on Equines ,Haryana,Agriculture,--,--,--,--,--,--,--,--,--
Chaudhary Charan Singh Haryana Agricultural University ,Haryana,Agriculture,"14,205","15,061",8.6,8.9,8.3,8.5,8.9,7.9,8.8
Lala Lajpat Rai University of Veterinary and ,Haryana,Agriculture,"65,570",--,8,8.7,7,8.8,8.3,7.8,7.6
Maharishi Markandeshwar sadopur Campus ,Haryana,Agriculture,"71,500","71,500",6.6,6,5.2,6.3,7,7,8.2
Maharana Pratap Horticultural University ,Haryana,Agriculture,--,--,8.3,--,--,8.6,--,7.8,8.5
Guru Nanak Khalsa Institute of Technology and ,Haryana,Agriculture,--,--,--,--,--,--,--,--,--
Om Sterling Global University ,Haryana,Agriculture,"65,000","70,000",--,--,--,--,--,--,--
"Government Industrial Training Institute Gudha, Jhajjar ",Haryana,Agriculture,460,--,--,--,--,--,--,--,--
Swami Vivekanand Group Of Institutes ,Haryana,Agriculture,"70,000",--,8.5,9,7.8,--,9,8.1,--
Rai University ,Gujarat,Agriculture,"1,10,600",--,7.1,7.2,7.1,7,6.9,6.8,7.7
"BA College of Agriculture, Anand ",Gujarat,Agriculture,"1,10,000",--,8.1,8.5,8,8.2,8.4,7.5,8.2
Gokul Global University ,Gujarat,Agriculture,"20,000","16,000",8.5,9,7,9.3,8.7,8,8.7
Parul Institute of Engineering and Technology ,Gujarat,Agriculture,"45,150",--,7.9,7.8,7.3,7.9,8.5,7.3,8.6
Noble Group of Institution ,Gujarat,Agriculture,"35,250",--,8.4,8.8,8,8.8,9.2,6.8,8.5
Parul Institute of Technology ,Gujarat,Agriculture,"50,000",--,7.9,7.9,6.9,8,8.6,7.7,8.2
"Shri Saraswati Gramvidyapith, Patan ",Gujarat,Agriculture,--,--,--,--,--,--,--,--,--
"College of Veterinary Science and Animal Husbandry, ",Gujarat,Agriculture,--,--,8.3,8.5,8,8.5,8,8,8.5
"AIMS College of Management and Technology, Anand ",Gujarat,Agriculture,--,--,--,--,--,--,--,--,--
"Maharaja Krishnakumarsinhji Bhavnagar University, Bhavnagar ",Gujarat,Agriculture,"21,450","16,450",8.6,8.6,7.9,9.3,9.1,7.6,9
Hemchandracharya North Gujarat University ,Gujarat,Agriculture,--,--,7.9,8.8,5.5,8.2,8.5,7.6,8.5
"Saurashtra University, Rajkot ",Gujarat,Agriculture,--,--,7.2,7.8,5.3,8,7.5,6.7,7.7
Veer Narmad South Gujarat University ,Gujarat,Agriculture,"8,830","6,220",7.3,7.8,6.3,7.7,7.5,6.6,7.7
College of Veterinary Science & Animal Husbandry ,Gujarat,Agriculture,"39,140",--,8.6,8.5,8.5,8.5,9.5,9,7.5
"School of Agriculture, Rai University ",Gujarat,Agriculture,"1,10,600",--,--,--,--,--,--,--,--
"Faculty of Animal Husbandry, Noble Group of ",Gujarat,Agriculture,"35,250",--,--,--,--,--,--,--,--
"Kamdhenu University, Gandhi Nagar ",Gujarat,Agriculture,--,--,8.1,8.3,7.7,8.3,8.3,7.9,8
Guru Angad Dev Veterinary and Animal Sciences ,Punjab,Agriculture,"1,37,855","1,45,655",8.6,8.6,8.3,9,8.6,8.3,8.6
"Aryans Group of Colleges, Rajpura ",Punjab,Agriculture,"1,10,000","51,000",7.5,7.6,7,7.9,7.6,7.3,7.6
Doaba Group of Colleges ,Punjab,Agriculture,--,--,5.8,5.8,5.5,6.5,6,5.8,5.3
Akal University ,Punjab,Agriculture,"88,000",--,7.7,8.3,7,8,7.8,7.3,7.5
"Modern Group Of Colleges- [MGC], Hoshiarpur ",Punjab,Agriculture,"1,41,989",--,8.2,9,8,8,9,7,8
Bidhan Chandra Krishi Viswavidyalaya ,West bengal,Agriculture,"10,580","12,220",8.3,8.8,8.6,8.7,8,6.7,8.7
